start_date,branch,barcode,name,stock_start,promo_price
2026-08-06,ML2,8857123181275,Cat Still สเปรย์ ฟีโรโมนสเปรย์ 60ml.,3.0,195
2026-08-06,ML2,8857123181343-1,NAMIGO สุนัขกลาง 10-20 kg. M,21.0,29
2026-08-06,ML2,8857123181350-1,NAMIGO สุนัขใหญ่ 20-40 kg. L,23.0,35
2026-08-06,ML2,8857123181367-1,NAMIGO แมว มากกว่า 10 สััปดาห์,21.0,27
2026-08-06,ML2,8857123180223,PRD โฟมอาบน้ำแมว กลิ่นวิคกี้ 110ml.,5.0,122
2026-08-06,ML2,8857123180186,PRD โฟมอาบน้ำแห้ง กลิ่นจาดอร์ 110ml.,4.0,116
2026-08-06,ML2,8850125074002,(0) PURINA ONE HEALTHY ADULT CHICKEN 380g,5.0,80
2026-08-06,ML2,8850125007376,(3) PURINA ONE KITTEN แซลม่อนทูน่า 2.7kg,2.0,620
2026-08-06,ML2,8850125074330,(3) PURINA ONE MATURE ADULT 7+ 1.2 kg,2.0,620
2026-08-06,ML2,8850124087621,(3) PURINA ONE STERILCAT ทำหมัน 2.7kg,2.0,620
2026-08-06,ML2,017800104777,(6) PURINA ONE Ketten 6.6kg,1.0,1208
2026-08-06,ML2,8857125471084,R8 SKIN&EYR CLEANSER ทำความสะอาดไรหู,3.0,232
2026-08-06,ML2,8859798701864,กระเป๋าแคบซูล ลายแต้มน้ำเงิน,3.0,180
2026-08-06,ML2,8859798701086,กระเป๋าใส สีฟ้า,4.0,204
2026-08-06,ML2,8859790070944,กล่องเดินทาง 61x45x41 1190.-,1.0,740
2026-08-06,ML2,9555544208531,Delizios  แมวเลีย ทูน่าคัตซึโอะบูชิ 20g*4,18.0,35
2026-08-06,ML2,8852021647281,ProDiet อ.เปียก ทูน่า 400g,26.0,32
2026-08-06,ML2,8852021647298,ProDiet อ.เปียก ปลาทะเล 400g,24.0,32
2026-08-06,ML2,9555544200054,ProDiet อ.เปียก ไก่ทูน่า 400g,22.0,32
2026-08-06,ML2,8859721201751,Dog Cheer โคนหูอบแห้งน้ำมันจระเข้ ,6.0,155
2026-08-06,ML2,8857200743532,Perto กระดูกแบน 4 นิ้ว 150 g,6.0,90
2026-08-06,ML2,8850229603290,RL (13) รสปลาทูน่าในเกรวี่ 70g,42.0,14
2026-08-06,ML2,8850229601746,RL KT (3) รสปลาทูน่าผสมไข่ขาว ลูกแมว70g,168.0,14
2026-08-06,ML2,3182550722537,RYC Chihuahua junior 500 g.,2.0,250
2026-08-06,ML2,9003579311301,RYC STERILISED GRAVY 85g.,23.0,24
2026-08-06,ML2,3182550793124,RYD (0) Mini Adult 800g,3.0,198
2026-08-06,ML2,3182550721400,RYC (2) HAIRBALL 2kg,2.0,644
2026-08-06,ML2,3182550793728,RYD (1) X-SMALL adult 1.5kg.,2.0,455
2026-08-06,ML2,8850805004022,SAKURA KOI อ.ปลาคราฟ เร่งโต 1.25kg (ส้ม),2.0,220
2026-08-06,ML2,8850477812208,SH (20) อ.สุนัขพันธ์เล็ก รสเนื้ออบ แดง 20kg.,1.0,1300
2026-08-06,ML2,8852706494001,SOJI แชมพูสำหรับสัตว์เลี้ยงขนขาว 220 ml,4.0,147
2026-08-06,ML2,8852706493851,SOJI แชมพูออร์แกนิค สูตรลูกสุนัข และลูกแมว 250 ml,4.0,120
2026-08-06,ML2,8859759400027,(20) Doggy Pro เนื้อ 20kg. ,1.0,460
2026-08-06,ML2,4520699670354,UNICHARM แผ่นรองซับขนาดใหญ่พิเศษ60x44cm,2.0,374
2026-08-06,ML2,4520699626542,UNICHARM แพมเพิส(ช)L18ชิ้น,3.0,163
2026-08-06,ML2,8850511721404,FEL SP4 ซาบะในเกรวี่ 70g กระป๋อง,18.0,29
2026-08-06,ML2,8850511721565,FEL NO27 ปลาทู ปลาข้าวสารในเกรวี่ 70g กระป๋อง,21.0,24
2026-08-06,ML2,8850511721527,FEL NO5 เนื้อไก่และสาหร่ายในเกรวี่ 70g กระป๋อง,20.0,24
2026-08-06,ML2,8850511721442,FEL SP1 เนื้อทูน่าในเกรวี่ 70g กระป๋อง,42.0,24
2026-08-06,ML2,8857127010144,VFCORE LC ควบคุมน้ำหนัก 12g (ฟ้า),59.0,12
2026-08-06,ML2,8857127009230,TH12044 Delisci อ.เปียก สุนัขพักฟื้น 185g,15.0,63
2026-08-06,ML2,8857127010847,TH183 Delisci อ.แม่และลูกสุนัข 1.5kg,5.0,250
2026-08-06,ML2,052742005898,103721 HG Hill's Urinary Care 1.5kg.,1.0,930
2026-08-06,ML2,052742338507,3385 Fel c/d VgTna&Rstew  82g,12.0,64
2026-08-06,ML2,052742567006,5670 PD A/D Hill 5.5Oz can อ.เปียกสัตว์ฟื้นฟู,6.0,96
2026-08-06,ML2,052742020884,603820 SD PUP Small Dog 1.5kg Hill อ.เม็ดลูกสุนัข ,2.0,531
2026-08-06,ML2,052742084862,609885 SD Ktn Ckn 540g Hill อ.ลูกแมว,2.0,218
2026-08-06,ML2,8853301142052,WHISKAS (20)สูตรปลาทู 20kg.,1.0,1472
2026-08-06,ML2,8859387702067-1,USA657 SKIN&COAT รวมรส 5ซอง,15.0,40
2026-08-06,ML2,8858788707435,Sukina สเปรย์ขจัดคราบสลายกลิ่น (ไม้สน) 450ml.,4.0,142
2026-08-06,ML2,8859564299724-1,UTIVITA Health 10 เม็ด,5.0,153
2026-08-06,ML3,8858772604337-1,PurrPurr แมวเลีย สำหรับแมวทำหมัน  6g,367.0,8
2026-08-06,ML3,9923120466,กรง 2 ชั้น 80x53x100cm 2350.-,2.0,1298
2026-08-06,ML3,99240501001,กรงสุนัข (เล็ก) 77x54x65cm 1990.-,2.0,900
2026-08-06,ML3,99250922047,C047 คอนโด 2 ชั้น 1290.-,2.0,660
2026-08-06,ML3,99241029001,แผ่นดักทราย L 45*60 cm,19.0,88
2026-08-06,ML3,9924072402,TT โซ่ล่ามจูง ข้อตรง 5 mm 250cm 370.-,9.0,150
2026-08-06,ML3,8850477013551,(1) Apro IQ อ.แมวโต 3 มิกซ์ 1kg.,71.0,54
2026-08-06,ML3,8850477027107,(1) LUCKY DOG อ.สุนัขโต 1kg,77.0,32
2026-08-06,ML3,8859831500102,(20) PRO CAT ปลาทู 20kg,2.0,734
2026-08-06,ML3,8850292513038,BR DOG แชมพู สูตร3 สำหรับสุนัขขนยาว 600ml.,19.0,96
2026-08-06,ML3,8850292514035,BR DOG แชมพู สูตร6 สุนัขขนขาว (สีใส) 600ml.,38.0,97
2026-08-06,ML3,8859104004979,DNJ (1) สุนัข สูตรเจ 1.5kg เหลือง,18.0,153
2026-08-06,ML3,8859104012981,DNJ (1) สุนัขโต แซลมอนและผัก7+ 1.5kg,9.0,153
2026-08-06,ML3,8859104012967,DNJ (1) สุนัขโตพันธุ์เล็ก แซลมอน 1.5kg,34.0,153
2026-08-06,ML3,8859104005037,DNJ (3) สุนัขโต เนื้อแกะ 3kg,7.0,252
2026-08-06,ML3,8859104004726,PFT (1) สุนัขโต รสเนื้อ 1kg.,11.0,145
2026-08-06,ML3,8859104004689,PFT (1) สุนัขโต รสไก่ไข่นม 1kg.,13.0,145
2026-08-06,ML3,8859104006294,PFT (1) แมวโต Indoor 1kg.,9.0,170
2026-08-06,ML3,8859104008298,PFT (3) แมวโต รสไก่ข้าว 3kg.,4.0,470
2026-08-06,ML3,5424052514103,BUZZ Natura แมว 7+ รสปลาค็อดและปลาเทราด์ 1kg.,17.0,210
2026-08-06,ML3,5424052514400,BUZZ Natura แมว 7+ รสปลาค็อดและปลาเทราด์ 4kg.,5.0,788
2026-08-06,ML3,8859214534403,6L TF06 Tofu  Melon 6L,13.0,123
2026-08-06,ML3,8859214535899,CF02 อ.แมวโต ทูน่าเนื้อแดงไก่เยลลี่ 400g,96.0,25
2026-08-06,ML3,8859214535905,CF03 อ.แมวโต ทูน่าเนื้อแดงหน้ากุ้ง 400g,106.0,27
2026-08-06,ML3,8859214535912,CF04 อ.แมวโต ทูน่าเนื้อแดงแซลมอน 400g,105.0,27
2026-08-06,ML3,8859214535936,CF06 อ.แมวโต ทูน่าเนื้อแดงหน้าปูอัด 400g,104.0,27
